     19, 0013, -2.888563
      6, 0006, -2.964809
     -4, FFFC, -3.023460
     -6, FFFA, -3.035191
      3, 0003, -2.982405
     16, 0010, -2.906158
     18, 0012, -2.894428
     26, 001A, -2.847507
     37, 0025, -2.782991
     40, 0028, -2.765396
     25, 0019, -2.853372
      0, 0000, -3.000000
    -12, FFF4, -3.070381
     -5, FFFB, -3.029325
      6, 0006, -2.964809
     16, 0010, -2.906158
     34, 0022, -2.800586
     56, 0038, -2.671554
     53, 0035, -2.689150
     41, 0029, -2.759531
     35, 0023, -2.794721
     35, 0023, -2.794721
     45, 002D, -2.736070
     67, 0043, -2.607038
     73, 0049, -2.571847
     54, 0036, -2.683285
     39, 0027, -2.771261
     29, 001D, -2.829912
     19, 0013, -2.888563
      4, 0004, -2.976540
     -2, FFFE, -3.011730
    -21, FFEB, -3.123167
    -38, FFDA, -3.222874
    -22, FFEA, -3.129032
      1, 0001, -2.994135
     18, 0012, -2.894428
     24, 0018, -2.859237
     33, 0021, -2.806452
     54, 0036, -2.683285
     68, 0044, -2.601173
     49, 0031, -2.712610
     23, 0017, -2.865103
     23, 0017, -2.865103
     42, 002A, -2.753666
     58, 003A, -2.659824
     51, 0033, -2.700880
     25, 0019, -2.853372
     11, 000B, -2.935484
     13, 000D, -2.923754
     32, 0020, -2.812317
     48, 0030, -2.718475
     42, 002A, -2.753666
     25, 0019, -2.853372
     11, 000B, -2.935484
      8, 0008, -2.953079
     12, 000C, -2.929619
     26, 001A, -2.847507
     38, 0026, -2.777126
     41, 0029, -2.759531
     40, 0028, -2.765396
     38, 0026, -2.777126
     40, 0028, -2.765396
     36, 0024, -2.788856
     49, 0031, -2.712610
     82, 0052, -2.519062
     87, 0057, -2.489736
     61, 003D, -2.642229
     39, 0027, -2.771261
     44, 002C, -2.741935
     67, 0043, -2.607038
     72, 0048, -2.577713
     56, 0038, -2.671554
     37, 0025, -2.782991
     20, 0014, -2.882698
     10, 000A, -2.941349
      6, 0006, -2.964809
      9, 0009, -2.947214
     18, 0012, -2.894428
     18, 0012, -2.894428
      4, 0004, -2.976540
     -1, FFFF, -3.005865
      4, 0004, -2.976540
     -3, FFFD, -3.017595
    -12, FFF4, -3.070381
     -9, FFF7, -3.052786
     10, 000A, -2.941349
     37, 0025, -2.782991
     41, 0029, -2.759531
     27, 001B, -2.841642
     23, 0017, -2.865103
     40, 0028, -2.765396
     56, 0038, -2.671554
     53, 0035, -2.689150
     49, 0031, -2.712610
     56, 0038, -2.671554
     59, 003B, -2.653959
     53, 0035, -2.689150
     44, 002C, -2.741935
     53, 0035, -2.689150
     72, 0048, -2.577713
     81, 0051, -2.524927
     64, 0040, -2.624633
     42, 002A, -2.753666
     39, 0027, -2.771261
     48, 0030, -2.718475
     35, 0023, -2.794721
     24, 0018, -2.859237
     27, 001B, -2.841642
     12, 000C, -2.929619
    -22, FFEA, -3.129032
    -39, FFD9, -3.228739
    -36, FFDC, -3.211144
    -25, FFE7, -3.146628
     -7, FFF9, -3.041056
      3, 0003, -2.982405
      9, 0009, -2.947214
     17, 0011, -2.900293
     19, 0013, -2.888563
     16, 0010, -2.906158
      5, 0005, -2.970675
     -4, FFFC, -3.023460
    -19, FFED, -3.111437
